Qual é o maior mamífero terrestre?;Elefante
Qual é o animal mais rápido do mundo?;Guepardo
Qual é o animal mais pesado do mundo?;Baleia Azul
Qual é o animal mais alto do mundo?;Girafa
Qual é o animal que possui a maior envergadura de asas?;Albatroz
Qual é o animal conhecido por sua memória excepcional?;Elefante
Qual é o animal que hiberna durante o inverno?;Urso
Qual é o animal que constrói represas e tocas em rios?;Castor
Qual é o animal que se camufla de acordo com o ambiente?;Camaleão
Qual é o animal que tem a maior população no planeta?;Formiga
Qual é o animal que produz o som mais alto?;Baleia Azul
Qual é o animal que tem o maior número de patas?;Centopeia
Qual é o animal que tem o maior cérebro em relação ao seu tamanho?;Golfinho
Qual é o animal que tem a língua mais longa?;Girafa
Qual é o animal que dorme praticamente o dia todo?;Preguiça
Qual é o animal que vive em colônias chamadas formigueiros?;Formiga
Qual é o animal que pode voar e é considerado um símbolo da sabedoria?;Coruja
Qual é o animal que é conhecido por sua velocidade e astúcia?;Raposa
Qual é o animal que é famoso por sua capacidade de imitar sons?;Papagaio
Qual é o animal que possui uma tromba longa e flexível?;Elefante
Qual é o animal que tem a pele coberta de escamas?;Cobra
Qual é o animal que tem um pescoço longo e elegante?;Cisne
Qual é o animal que é conhecido por seu salto em alta velocidade?;Canguru
Qual é o animal que tem garras afiadas e caça à noite?;Coruja
Qual é o animal que é conhecido por sua habilidade de planar?;Esquilo voador
Qual é o animal que tem manchas pretas em seu corpo?;Leopardo
Qual é o animal que é considerado o rei da selva?;Leão
Qual é o animal que é conhecido por sua velocidade e resistência?;Cavalo
Qual é o animal que tem uma pele grossa e rugosa?;Rinoceronte
Qual é o animal que tem uma crina majestosa?;Cavalo
Qual é o animal que tem um bico longo e curvado?;Tucano
Qual é o animal que tem uma tromba curvada e listras em seu corpo?;Tamanduá bandeira
Qual é o animal que tem uma carapaça dura e vive na água?;Tartaruga
Qual é o animal que tem uma língua comprida e captura insetos?;Tamanduá
Qual é o animal que tem uma coroa em sua cabeça?;Leão
Qual é o animal que tem uma bolsa na qual carrega seus filhotes?;Canguru
Qual é o animal que tem uma cauda longa e listrada?;Zebra
Qual é o animal que tem um pescoço longo e uma língua azul?;Girafa
Qual é o animal que tem um corpo coberto de escamas e vive na água?;Peixe
Qual é o animal que tem uma carapaça dura e vive no mar?;Tartaruga
Qual é o animal que tem uma tromba e presas grandes?;Elefante
Qual é o animal que tem um bico longo e fino?;Garça
Qual é o animal que tem um corpo listrado e é conhecido por sua rapidez?;Zebra
Qual é o animal que tem um focinho longo e é famoso por desenterrar formigas?;Tamanduá
Qual é o animal que tem um corpo peludo e vive nas montanhas?;Cabra
Qual é o animal que tem um corpo pequeno e asas coloridas?;Borboleta
Qual é o animal que tem um pescoço longo e é conhecido por seu canto?;Galo
Qual é o animal que tem um corpo coberto de penas e pode nadar?;Pato
Qual é o animal que tem um bico curto e grosso?;Pato
Qual é o animal que tem um corpo alongado e rasteja no chão?;Cobra
Qual é o maior rio do Brasil?;Amazonas
Qual é a capital do Brasil?;Brasília
Qual é o estado conhecido como "Terra da Garoa"?;São Paulo
Qual é a cidade brasileira famosa por suas praias, como Copacabana e Ipanema?;Rio de Janeiro
Qual é o estado brasileiro famoso pelas Cataratas do Iguaçu?;Paraná
Qual é a maior floresta tropical do mundo, localizada no Brasil?;Amazônia
Qual é o animal que representa o Brasil na fauna?;Arara azul
Qual é a maior festa popular do Brasil?;Carnaval
Qual é o esporte mais popular do Brasil?;Futebol
Qual é o monumento no Rio de Janeiro que é uma das Sete Maravilhas do Mundo Moderno?;Cristo Redentor
Qual é o nome dado à dança típica do Brasil?;Samba
Qual é o prato típico brasileiro feito com feijão preto, arroz, carne seca e outros ingredientes?;Feijoada
Qual é a música considerada o hino não oficial do Brasil?;Aquarela do Brasil
Qual cidade brasileira está localizada a maior estátua de Jesus Cristo do Mundo?;Encantado
Qual é o nome do famoso estádio de futebol em São Paulo?;Estádio do Morumbi
Qual é o estado brasileiro conhecido por suas praias paradisíacas e águas cristalinas?;Bahia
Qual é a famosa rocha localizada no Rio de Janeiro e uma das principais atrações turísticas do Brasil?;Pão de Açúcar
Qual é a bebida típica do Brasil, feita a partir da destilação do caldo de cana de açúcar?;Cachaça
Qual é a região do Brasil conhecida por suas belas praias e dunas de areia?;Nordeste
Qual é o famoso bairro boêmio de Salvador, na Bahia?;Pelourinho
Qual é o nome do parque nacional localizado no estado do Mato Grosso do Sul, conhecido por sua rica biodiversidade?;Pantanal
Qual é o estado brasileiro conhecido por suas famosas festas juninas?;Pernambuco
Qual é a dança folclórica típica do Brasil, originária do estado do Rio Grande do Sul?;Dança Gaúcha
Qual é a cidade histórica em Minas Gerais, conhecida por sua arquitetura colonial?;Ouro Preto
Qual é a pedra preciosa nacional do Brasil?;Ametista
Qual é o nome do famoso festival de música realizado na cidade de Barretos, em São Paulo?;Festa do Peão de Barretos
Qual é a capital do estado do Rio Grande do Sul?;Porto Alegre
Qual é o estado brasileiro famoso pela produção de vinho?;Rio Grande do Sul
Qual é o nome do famoso arquipélago brasileiro localizado no estado do Maranhão?;Lençóis Maranhenses
Qual é o estado brasileiro conhecido pela região amazônica e pelas tribos indígenas?;Amazonas
Qual é o nome do famoso festival de música realizado anualmente em Itu, São Paulo?;Festival de Verão de Itu
Qual é o nome da famosa praia de Florianópolis, Santa Catarina?;Jurerê Internacional
Qual é o estado brasileiro conhecido pela Chapada dos Veadeiros?;Goiás
Qual é o famoso monumento em Brasília, considerado um dos principais cartões postais do Brasil?;Congresso Nacional
Qual é o nome dado à culinária típica do estado da Bahia?;Culinária Baiana
Qual é o estado brasileiro conhecido pela famosa Rota das Emoções, que engloba Jericoacoara, Delta do Parnaíba e Lençóis Maranhenses?;Ceará
Qual é o nome da famosa rota turística que percorre várias cidades históricas de Minas Gerais?;Estrada Real
Qual é a cidade brasileira famosa por suas esculturas de Aleijadinho?;Congonhas
Qual é o estado brasileiro conhecido pela produção de café?;Minas Gerais
Qual é o nome dado ao movimento artístico cultural brasileiro que surgiu no Rio de Janeiro na década de 1950?;Bossa Nova
Qual é a famosa praia localizada em Santa Catarina, conhecida por suas ondas perfeitas para a prática de surfe?;Praia da Joaquina
Qual é o nome do famoso festival de música realizado anualmente em Parintins, Amazonas?;Festival de Parintins
Qual é o nome dado à dança típica do estado do Pará?;Carimbó
Qual é o estado brasileiro conhecido pela região do Pantanal?;Mato Grosso
Qual é o nome do famoso arquipélago brasileiro localizado no estado de São Paulo?;Ilhabela
Qual é a cidade brasileira famosa por suas festas de São João?;Campina Grande
Qual é o estado brasileiro conhecido pelo Parque Nacional dos Lençóis Maranhenses?;Maranhão
Qual é o nome do famoso festival de música realizado anualmente em Recife, Pernambuco?;Carnaval de Recife
Qual é o estado brasileiro conhecido pelo Parque Nacional da Serra da Capivara?;Piauí
Qual é o nome da famosa praia localizada em Fernando de Noronha, Pernambuco?;Praia do Sancho
Qual é a palavra em inglês para "casa"?;House
Como se diz "obrigado" em inglês?;Thank you
Qual é a palavra em inglês para "livro"?;Book
Como se diz "bom dia" em inglês?;Good morning
Qual é a palavra em inglês para "comida"?;Food
Como se diz "por favor" em inglês?;Please
Qual é a palavra em inglês para "água"?;Water
Como se diz "adeus" em inglês?;Goodbye
Qual é a palavra em inglês para "amigo"?;Friend
Como se diz "eu te amo" em inglês?;I love you
Qual é a palavra em inglês para "carro"?;Car
Qual é a palavra em inglês para "mulher"?;Woman
Como se diz "boa noite" em inglês?;Good evening
Qual é a palavra em inglês para "família"?;Family
Como se diz "desculpe" em inglês?;Sorry
Qual é a palavra em inglês para "escola"?;School
Como se diz "bem-vindo" em inglês?;Welcome
Qual é a palavra em inglês para "cidade"?;City
Como se diz "feliz aniversário" em inglês?;Happy birthday
Qual é a palavra em inglês para "pai"?;Father
Qual é a palavra em inglês para "trabalho"?;Work
Como se diz "como você está?" em inglês?;How are you
Qual é a palavra em inglês para "beleza"?;Beauty
Como se diz "socorro" em inglês?;Help
Qual é a palavra em inglês para "homem"?;Man
Como se diz "eu entendo" em inglês?;I understand
Qual é a palavra em inglês para "mãe"?;Mother
Qual é a palavra em inglês para "tempo"?;Time
Como se diz "parabéns" em inglês?;Congratulations
Qual é a palavra em inglês para "amor"?;Love
Como se diz "eu preciso de ajuda" em inglês?;I need help
Qual é a palavra em inglês para "coração"?;Heart
Como se diz "com licença" em inglês?;Excuse me
Qual é a palavra em inglês para "menino"?;Boy
Como se diz "não há problema" em inglês?;No problem
Qual é a palavra em inglês para "sol"?;Sun
Como se diz "bom trabalho" em inglês?;Good job
Qual é a palavra em inglês para "menina"?;Girl
Qual é a palavra em inglês para "lua"?;Moon
Qual é a palavra em inglês para "irmão"?;Brother
Qual é a palavra em inglês para "estrela"?;Star
Como se diz "muito obrigado" em inglês?;Thank you very much
Qual é a palavra em inglês para "sonho"?;Dream
Qual é a palavra em inglês para "mar"?;Sea
Qual é a palavra em inglês para "ar"?;Air
Como se diz "eu me amo" em inglês?;I love Myself
Como se diz "Eu sou o melhor"?;I am the best
Como se diz "Me sinto Feliz" em inglês?;I feel happy
Como se diz "Eu acredito em Deus" em inglês?;I believe in God
Como se diz "o cachorro está feliz" em inglês?;The dog is happy
Qual é o coletivo de "árvores"?;Floresta
Qual é o coletivo de "lobos"?;Alcateia
Qual é o coletivo de "gatos"?;Colônia
Qual é o coletivo de "pássaros"?;Bando
Qual é o coletivo de "leão"?;Manada
Qual é o coletivo de "formigas"?;Formigueiro
Qual é o coletivo de "cavalos"?;Manada
Qual é o coletivo de "ovelhas"?;Rebanho
Qual é o coletivo de "cães"?;Matilha
Qual é o coletivo de "vacas"?;Rebanho
Qual é o coletivo de "borboletas"?;Revoada
Qual é o coletivo de "abelhas"?;Enxame
Qual é o coletivo de "gansos"?;Bandada
Qual é o coletivo de "aranhas"?;Teia
Qual é o coletivo de "leões"?;Alcateia
Qual é o coletivo de "peixes"?;Cardume
Qual é o coletivo de "Ilhas"?;Arquipélago
Qual é o coletivo de "Estrelas"?;Constelação
Qual é o coletivo de "Pessoas"?;Multidão
Qual é o coletivo de "Montanhas"?;Cordilheira 
Qual é o coletivo de "Livros"?;Biblioteca   
Qual é o coletivo de "Pérolas"?;Colar
O que é um verbo?;Ação
O que é um adjetivo?;Descrição
O que é um advérbio?;Modificação
O que é uma preposição?;Relação
O que é uma conjunção?;Conexão
O que é um artigo?;Acompanhamento
O que é um pronome?;Substituição
O que é uma frase?;Expressão
O que é um sujeito?;Ação
O que é um predicado?;Informação
O que é uma concordância?;Acordo
O que é uma regência?;Verbo
O que é uma crase?;Junção
O que é um sinônimo?;Significado
O que é um antônimo?;Oposto
O que é uma metáfora?;Comparação
O que é uma metonímia?;Substituição
O que é uma onomatopeia?;Som
O que é uma aliteração?;Repetição
O que é uma hipérbole?;Exagero
O que é uma ironia?;Contrário
O que é uma ambiguidade?;Interpretação
O que é uma paronímia?;Semelhantes
O que é um pleonasmo?;Redundância
O que é uma elipse?;Supressão
O que é uma reticência?;Suspensão
O que é um oxítono?;Tônica
O que é um ditongo?;Encontro
Complete a frase "Quem tudo quer,..."?;Nada tem
Complete a frase "Quem não arrisca,..."?;Não petisca
Complete a frase "Quem semeia vento,..."?;Colhe tempestade
Complete a frase "Quem ama o feio,..."?;bonito lhe parece
Complete a frase "Quem espera,..."?;Sempre alcança
Complete a frase "Quem não chora,..."?;Não mama
Complete a frase "Quem tem boca,..."?;Vai a Roma
Complete a frase "Quem vê cara,..."?;Não vê coração
Complete a frase "Quem com ferro fere,..."?;Com ferro será ferido
Complete a frase "Quem canta seus males,..."?;Espanta
Complete a frase "Quem não tem cão,..."?;Caça como gato
Complete a frase "Quem não tem competência,..."?;Não se estabelece
Complete a frase "Quem não tem dinheiro,..."?;Não tem vícios
Complete a frase "Santo de casa,..."?;não faz milagre
Complete a frase "Uma andorinha sozinha,..."?;não faz verão
Complete a frase "Seguro morreu de,..."?;velho
Complete a frase "Quem ri por último,..."?;Ri melhor
Complete a frase "Saco vazio não,..."?;para em pé
Complete a frase "O apressado,..."?;Come cru
